Date,Emissions
2015-04-01,1.668109676715e-08
2015-07-01,1.668109676715e-08
2015-10-01,1.668109676715e-08
2016-01-01,1.668109676715e-08
2016-04-01,1.668109676715e-08
2016-07-01,1.668109676715e-08
2016-10-01,1.668109676715e-08
2017-01-01,1.668109676715e-08
2017-04-01,1.668109676715e-08
2017-07-01,1.668109676715e-08
2017-10-01,1.668109676715e-08
2018-01-01,1.668109676715e-08
2018-04-01,1.668109676715e-08
2018-07-01,1.668109676715e-08
2018-10-01,1.668109676715e-08
2019-01-01,1.668109676715e-08
2019-04-01,1.668109676715e-08
2019-07-01,1.668109676715e-08
2019-10-01,1.668109676715e-08
2020-01-01,1.668109676715e-08
2020-04-01,1.668109676715e-08
2020-07-01,1.668109676715e-08
2020-10-01,1.668109676715e-08
2021-01-01,1.668109676715e-08
2021-04-01,1.668109676715e-08
2021-07-01,1.668109676715e-08
2021-10-01,1.668109676715e-08
2022-01-01,1.668109676715e-08
2022-04-01,1.668109676715e-08
2022-07-01,1.668109676715e-08
2022-10-01,1.668109676715e-08
2023-01-01,1.668109676715e-08
2023-04-01,1.668109676715e-08
2023-07-01,1.668109676715e-08
2023-10-01,1.668109676715e-08
